,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
17343, Grund: Technische Störung am Zug,18:05,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:28-Berlin Südkreuz 11:35-Bitterfeld 12:25-Leipzig Hbf 12:48-Erfurt Hbf 13:30-Eisenach 13:56-Fulda 14:50-Frankfurt(Main)Hbf 15:50-Mannheim Hbf 16:30-Stuttgart Hbf 17:08,8098096.0,arr,Hamburg-Altona,16Stuttgart Hbf,17:08,20.06.19,Stuttgart%238098096,57,ICE
17440, Grund: Technische Störung am Zug,18:04,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:28-Berlin Südkreuz 11:35-Bitterfeld 12:25-Leipzig Hbf 12:48-Erfurt Hbf 13:30-Eisenach 13:56-Fulda 14:50-Frankfurt(Main)Hbf 15:50-Mannheim Hbf 16:30-Stuttgart Hbf 17:08,8098096.0,arr,Hamburg-Altona,16Stuttgart Hbf,17:08,20.06.19,Stuttgart%238098096,56,ICE
17955, Grund: Technische Störung am Zug,18:03,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:28-Berlin Südkreuz 11:35-Bitterfeld 12:25-Leipzig Hbf 12:48-Erfurt Hbf 13:30-Eisenach 13:56-Fulda 14:50-Frankfurt(Main)Hbf 15:50-Mannheim Hbf 16:30-Stuttgart Hbf 17:08,8098096.0,arr,Hamburg-Altona,16Stuttgart Hbf,17:08,20.06.19,Stuttgart%238098096,55,ICE
18084, ,,ICE 1212,München Hbf 15:28-München-Pasing 15:36-Augsburg Hbf 16:03-Ulm Hbf 16:49-Stuttgart Hbf 17:45,8098096.0,arr,München Hbf,10Stuttgart Hbf,17:45,20.06.19,Stuttgart%238098096,0,ICE
18159, Grund: Technische Störung am Zug,18:09,ICE599,Stuttgart Hbf 17:14-Ulm Hbf 18:10-Augsburg Hbf 18:53-München-Pasing 19:18-München Hbf 19:27,8098096.0,dep,München Hbf,16Stuttgart Hbf,17:14,20.06.19,Stuttgart%238098096,55,ICE
18201, Grund: Technische Störung am Zug,18:02,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:28-Berlin Südkreuz 11:35-Bitterfeld 12:25-Leipzig Hbf 12:48-Erfurt Hbf 13:30-Eisenach 13:56-Fulda 14:50-Frankfurt(Main)Hbf 15:50-Mannheim Hbf 16:30-Stuttgart Hbf 17:08,8098096.0,arr,Hamburg-Altona,16Stuttgart Hbf,17:08,20.06.19,Stuttgart%238098096,54,ICE
18255, Grund: Technische Störung am Zug,18:08,ICE599,Stuttgart Hbf 17:14-Ulm Hbf 18:10-Augsburg Hbf 18:53-München-Pasing 19:18-München Hbf 19:27,8098096.0,dep,München Hbf,16Stuttgart Hbf,17:14,20.06.19,Stuttgart%238098096,54,ICE
18697, Grund: Technische Störung am Zug,18:01,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:28-Berlin Südkreuz 11:35-Bitterfeld 12:25-Leipzig Hbf 12:48-Erfurt Hbf 13:30-Eisenach 13:56-Fulda 14:50-Frankfurt(Main)Hbf 15:50-Mannheim Hbf 16:30-Stuttgart Hbf 17:08,8098096.0,arr,Hamburg-Altona,16Stuttgart Hbf,17:08,20.06.19,Stuttgart%238098096,53,ICE
18796, ,,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:28-Berlin Südkreuz 11:35-Bitterfeld 12:25-Leipzig Hbf 12:48-Erfurt Hbf 13:30-Eisenach 13:56-Fulda 14:50-Frankfurt(Main)Hbf 15:50-Mannheim Hbf 16:30-Stuttgart Hbf 17:08,8098096.0,arr,Hamburg-Altona,16Stuttgart Hbf,17:08,20.06.19,Stuttgart%238098096,0,ICE
19093, ,,ICE599,Stuttgart Hbf 17:14-Ulm Hbf 18:10-Augsburg Hbf 18:53-München-Pasing 19:18-München Hbf 19:27,8098096.0,dep,München Hbf,16Stuttgart Hbf,17:14,20.06.19,Stuttgart%238098096,0,ICE
