,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
34122, ,,ICE993,Berlin Hbf (tief) 21:28-Berlin Südkreuz 21:33-Lutherstadt Wittenberg Hbf 22:09-Bitterfeld 22:27-Leipzig Hbf 22:47-Erfurt Hbf 23:33-Gotha 23:55-Eisenach 00:10-Frankfurt(Main)Hbf 02:15-Frankfurt(M) Flughafen Fernbf 02:38-Mannheim Hbf 03:26-Stuttgart Hbf 04:44-Ulm Hbf 06:10-Günzburg 06:25-Augsburg Hbf 06:57-München-Pasing 07:21-München Hbf 07:32,8011160.0,dep,München Hbf,1Berlin Hbf (tief),21:28,20.06.19,Berlin%238011160,0,ICE
34771, ,,ICE 1000,München Hbf 17:57-Nürnberg Hbf 19:01-Erfurt Hbf 20:11-Berlin Hbf (tief) 21:51,8011160.0,arr,München Hbf,6Berlin Hbf (tief),21:51,20.06.19,Berlin%238011160,0,ICE
35111, ,,ICE296,Basel SBB (Halt entfällt) 14:13-Basel Bad Bf 14:23-Freiburg(Breisgau) Hbf 14:55-Offenburg 15:27-Baden-Baden 15:42-Karlsruhe Hbf 16:01-Mannheim Hbf 16:32-Frankfurt(Main)Hbf 17:19-Fulda 18:15-Kassel-Wilhelmshöhe 18:48-Hildesheim Hbf 20:06-Braunschweig Hbf 20:29-Wolfsburg Hbf 20:48-Berlin Hbf 21:56,8011160.0,arr,Basel SBB,11,21:56,20.06.19,Berlin%238011160,0,ICE
36521, ,,ICE296,Basel SBB 14:13-Basel Bad Bf 14:23-Freiburg(Breisgau) Hbf 14:55-Offenburg 15:27-Baden-Baden 15:42-Karlsruhe Hbf 16:01-Mannheim Hbf 16:32-Frankfurt(Main)Hbf 17:19-Fulda 18:15-Kassel-Wilhelmshöhe 18:48-Hildesheim Hbf 20:06-Braunschweig Hbf 20:29-Wolfsburg Hbf 20:48-Berlin Hbf 21:56,8011160.0,arr,Basel SBB,11,21:56,20.06.19,Berlin%238011160,0,ICE
36539, ,,ICE945,Düsseldorf Hbf 17:51-Düsseldorf Flughafen 17:59-Duisburg Hbf 18:09-Essen Hbf 18:23-Bochum Hbf 18:35-Dortmund Hbf 18:48-Bielefeld Hbf 19:34-Hannover Hbf 20:31-Wolfsburg Hbf 21:05-Stendal 21:32-Berlin Hbf (tief) 22:18,8011160.0,arr,Düsseldorf Hbf,5Berlin Hbf (tief),22:18,20.06.19,Berlin%238011160,0,ICE
36543, ,,ICE907,Hamburg-Altona 20:17-Hamburg Dammtor 20:28-Hamburg Hbf 20:34-Ludwigslust 21:19-Berlin Hbf (tief) 22:23,8011160.0,arr,Hamburg-Altona,1Berlin Hbf (tief),22:23,20.06.19,Berlin%238011160,0,ICE
36544, ,,ICE702,München Hbf 18:02-Nürnberg Hbf 19:05-Bamberg 19:41-Erfurt Hbf 20:32-Bitterfeld 21:24-Berlin Südkreuz 22:19-Berlin Hbf (tief) 22:24,8011160.0,arr,München Hbf,6Berlin Hbf (tief),22:24,20.06.19,Berlin%238011160,0,ICE
36550, Grund: Verspätung eines vorausfahrenden Zuges,22:31,ICE594,München Hbf 14:28-München-Pasing 14:37-Augsburg Hbf 15:03-Ulm Hbf 15:49-Stuttgart Hbf 16:51-Mannheim Hbf 17:32-Frankfurt(Main)Hbf 18:14-Fulda 19:09-Eisenach 20:02-Erfurt Hbf 20:28-Leipzig Hbf 21:16-Lutherstadt Wittenberg Hbf 21:48-Berlin Hbf (tief) 22:29,8011160.0,arr,München Hbf,7Berlin Hbf (tief),22:29,20.06.19,Berlin%238011160,2,ICE
36572, Grund: Technische Störung an der Strecke,23:30,ICE 1692,Frankfurt(M) Flughafen Fernbf 18:09-Frankfurt(Main)Süd 18:20-Fulda 19:13-Kassel-Wilhelmshöhe 19:46-Göttingen 20:06-Hildesheim Hbf 21:09-Braunschweig Hbf 21:32-Berlin Hbf 22:57,8011160.0,arr,Frankfurt(M) Flughafen Fernbf,12,22:57,20.06.19,Berlin%238011160,33,ICE
36573, ,23:02,ICE 1635,Frankfurt(Main)Hbf 19:02-Erfurt Hbf 21:09-Berlin Hbf (tief) 22:58,8011160.0,arr,Frankfurt(Main)Hbf,7Berlin Hbf (tief),22:58,20.06.19,Berlin%238011160,4,ICE
36624, Grund: Technische Störung an der Strecke,23:31,ICE 1692,Frankfurt(M) Flughafen Fernbf 18:09-Frankfurt(Main)Süd 18:20-Fulda 19:13-Kassel-Wilhelmshöhe 19:46-Göttingen 20:06-Hildesheim Hbf 21:09-Braunschweig Hbf 21:32-Berlin Hbf 22:57,8011160.0,arr,Frankfurt(M) Flughafen Fernbf,12,22:57,20.06.19,Berlin%238011160,34,ICE
36625, ,23:03,ICE 1635,Frankfurt(Main)Hbf 19:02-Erfurt Hbf 21:09-Berlin Hbf (tief) 22:58,8011160.0,arr,Frankfurt(Main)Hbf,7Berlin Hbf (tief),22:58,20.06.19,Berlin%238011160,5,ICE
36706, ,,ICE594,München Hbf 14:28-München-Pasing 14:37-Augsburg Hbf 15:03-Ulm Hbf 15:49-Stuttgart Hbf 16:51-Mannheim Hbf 17:32-Frankfurt(Main)Hbf 18:14-Fulda 19:09-Eisenach 20:02-Erfurt Hbf 20:28-Leipzig Hbf 21:16-Lutherstadt Wittenberg Hbf 21:48-Berlin Hbf (tief) 22:29,8011160.0,arr,München Hbf,7Berlin Hbf (tief),22:29,20.06.19,Berlin%238011160,0,ICE
36935, Grund: Technische Störung an der Strecke,23:32,ICE 1692,Frankfurt(M) Flughafen Fernbf 18:09-Frankfurt(Main)Süd 18:20-Fulda 19:13-Kassel-Wilhelmshöhe 19:46-Göttingen 20:06-Hildesheim Hbf 21:09-Braunschweig Hbf 21:32-Berlin Hbf 22:57,8011160.0,arr,Frankfurt(M) Flughafen Fernbf,12,22:57,20.06.19,Berlin%238011160,35,ICE
36987, ,22:59,ICE 1635,Frankfurt(Main)Hbf 19:02-Erfurt Hbf 21:09-Berlin Hbf (tief) 22:58,8011160.0,arr,Frankfurt(Main)Hbf,7Berlin Hbf (tief),22:58,20.06.19,Berlin%238011160,1,ICE
37016, ,,ICE898,Berlin Hbf (tief) 22:38-Berlin-Spandau 22:46-Wittenberge 23:28-Ludwigslust 23:46-Hamburg Hbf 00:33-Hamburg Dammtor 00:39-Hamburg-Altona 00:48,8011160.0,dep,Hamburg-Altona,8Berlin Hbf (tief),22:38,20.06.19,Berlin%238011160,0,ICE
37082, ,23:00,ICE 1635,Frankfurt(Main)Hbf 19:02-Erfurt Hbf 21:09-Berlin Hbf (tief) 22:58,8011160.0,arr,Frankfurt(Main)Hbf,7Berlin Hbf (tief),22:58,20.06.19,Berlin%238011160,2,ICE
